item_id,item_description,item_long_description,preferred_supplier_id,status_type_code_id,status_item_code_id,created_by,created_date,modified_by,modified_date
2000466,MUTUAL BRICK,,1000031,0,1002,101,5/1/2005,101,5/1/2005
2000467,LABOR - POUR RAT SLAB,,1000027,0,1002,101,5/1/2005,101,5/1/2005
2000468,LABOR - POUR CONCRETE BROOM FINISH,,1000027,0,1002,101,5/1/2005,101,5/1/2005
2000469,LABOR - POUR CONCRETE EXPOSED FINISH,,1000027,0,1002,101,5/1/2005,101,5/1/2005
2000470,FLAGSTONE MATERIAL,,1000003,0,1002,101,5/1/2005,101,5/1/2005
2000471,LABOR - INSTALL FLAGSTONE,40-45 SQ FT PER DAY WITH MORTAR & 80-100 SQ FT PER DAY ON SAND BASE,1000027,0,1002,101,5/1/2005,101,5/1/2005
2000472,LABOR INSTALL BRICK ,,1000027,0,1002,101,5/1/2005,101,5/1/2005
2000473,LABOR - ACID WASH,,1000027,0,1002,101,5/1/2005,101,5/1/2005
2000474,LABOR - INSTALL SEALANT,,1000027,0,1002,101,5/1/2005,101,5/1/2005
2000475,CONCRETE SEALANT,,1000033,0,1002,101,5/1/2005,101,5/1/2005
2000476,MISC. CONCRETE,,1000027,0,1002,101,5/1/2005,101,5/1/2005
2000477,MISC. BRICK,,1000027,0,1002,101,5/1/2005,101,5/1/2005
2000478,MISC. FLAGSTONE,,1000027,0,1002,101,5/1/2005,101,5/1/2005
2000479,TRUCK HIRE,,1000029,0,1002,101,5/1/2005,101,5/1/2005
2000480,LABOR - PLATE COMPACT,,1000027,0,1002,101,5/1/2005,101,5/1/2005
2000481,CONCRETE PUMP,,1000034,0,1002,101,5/1/2005,101,5/1/2005
2000482,LABOR - CLEAN UP,,1000027,0,1002,101,5/1/2005,101,5/1/2005
2000483,LABOR - INSTALL LINER,,1000027,102,1002,101,5/30/2005,101,5/30/2005
2000484,LABOR - PLUMB IN FEATURE,,1000027,102,1002,101,5/30/2005,101,5/30/2005
2000485,LABOR - INSTALL BOULDERS ,,1000027,102,1002,101,5/30/2005,101,5/30/2005
2000486,LABOR - BUILD POOL/ FALLS  ,,1000027,102,1002,101,5/30/2005,101,5/30/2005
